kingdom_number,kvk_number,opponent_kingdom,prep_result,battle_result,overall_result,kvk_date,order_index
1,1,2,W,W,Win,"May 24, 2025",1
1,2,3,L,L,Loss,"Jun 21, 2025",2
1,3,12,L,L,Loss,"Jul 19, 2025",3
1,4,5,W,W,Win,"Aug 16, 2025",4
1,5,6,W,L,Preparation,"Sep 13, 2025",5
1,6,2,W,L,Preparation,"Oct 11, 2025",6
1,7,10,W,L,Preparation,"Nov 8, 2025",7
1,8,5,W,W,Win,"Dec 6, 2025",8
1,9,15,W,L,Preparation,"Jan 3, 2026",9
2,1,1,L,L,Loss,"May 24, 2025",1
2,2,5,L,L,Loss,"Jun 21, 2025",2
2,3,16,W,W,Win,"Jul 19, 2025",3
2,4,4,L,W,Battle,"Aug 16, 2025",4
2,5,3,L,L,Loss,"Sep 13, 2025",5
2,6,1,L,W,Battle,"Oct 11, 2025",6
2,7,7,L,L,Loss,"Nov 8, 2025",7
2,8,4,L,W,Battle,"Dec 6, 2025",8
2,9,25,W,L,Preparation,"Jan 3, 2026",9
3,1,4,W,W,Win,"May 24, 2025",1
3,2,1,W,W,Win,"Jun 21, 2025",2
3,3,18,W,W,Win,"Jul 19, 2025",3
3,4,6,W,W,Win,"Aug 16, 2025",4
3,5,2,W,W,Win,"Sep 13, 2025",5
3,6,4,W,W,Win,"Oct 11, 2025",6
3,7,45,L,W,Battle,"Nov 8, 2025",7
3,8,6,W,W,Win,"Dec 6, 2025",8
3,9,12,L,W,Battle,"Jan 3, 2026",9
4,1,3,L,L,Loss,"May 24, 2025",1
4,2,6,W,L,Preparation,"Jun 21, 2025",2
4,3,7,W,W,Win,"Jul 19, 2025",3
4,4,2,W,L,Preparation,"Aug 16, 2025",4
4,5,5,W,W,Win,"Sep 13, 2025",5
4,6,3,L,L,Loss,"Oct 11, 2025",6
4,7,25,W,W,Win,"Nov 8, 2025",7
4,8,2,W,L,Preparation,"Dec 6, 2025",8
4,9,22,L,L,Loss,"Jan 3, 2026",9
5,1,7,L,L,Loss,"May 24, 2025",1
5,2,2,W,W,Win,"Jun 21, 2025",2
5,3,25,W,W,Win,"Jul 19, 2025",3
5,4,1,L,L,Loss,"Aug 16, 2025",4
5,5,4,L,L,Loss,"Sep 13, 2025",5
5,6,6,L,L,Loss,"Oct 11, 2025",6
5,7,20,L,W,Battle,"Nov 8, 2025",7
5,8,1,L,L,Loss,"Dec 6, 2025",8
5,9,16,W,L,Preparation,"Jan 3, 2026",9
6,1,11,W,L,Preparation,"May 24, 2025",1
6,2,4,L,W,Battle,"Jun 21, 2025",2
6,3,13,W,W,Win,"Jul 19, 2025",3
6,4,3,L,L,Loss,"Aug 16, 2025",4
6,5,1,L,W,Battle,"Sep 13, 2025",5
6,6,5,W,W,Win,"Oct 11, 2025",6
6,7,12,L,L,Loss,"Nov 8, 2025",7
6,8,3,L,L,Loss,"Dec 6, 2025",8
6,9,14,W,L,Preparation,"Jan 3, 2026",9
7,1,5,W,W,Win,"May 24, 2025",1
7,2,16,L,L,Loss,"Jun 21, 2025",2
7,3,4,L,L,Loss,"Jul 19, 2025",3
7,4,10,W,L,Preparation,"Aug 16, 2025",4
7,5,25,L,W,Battle,"Sep 13, 2025",5
7,6,14,L,L,Loss,"Oct 11, 2025",6
7,7,2,W,W,Win,"Nov 8, 2025",7
7,8,27,L,W,Battle,"Dec 6, 2025",8
7,9,33,L,L,Loss,"Jan 3, 2026",9
8,1,12,L,L,Loss,"May 24, 2025",1
8,2,20,L,L,Loss,"Jun 21, 2025",2
8,3,27,W,W,Win,"Jul 19, 2025",3
8,4,9,L,W,Battle,"Aug 16, 2025",4
8,5,12,L,L,Loss,"Sep 13, 2025",5
8,6,10,W,W,Win,"Oct 11, 2025",6
8,7,14,L,L,Loss,"Nov 8, 2025",7
8,8,48,L,W,Battle,"Dec 6, 2025",8
8,9,13,L,L,Loss,"Jan 3, 2026",9
9,2,43,L,L,Loss,"Jun 21, 2025",2
9,3,28,L,W,Battle,"Jul 19, 2025",3
9,4,8,W,L,Preparation,"Aug 16, 2025",4
9,5,19,L,L,Loss,"Sep 13, 2025",5
9,6,16,L,L,Loss,"Oct 11, 2025",6
9,7,29,L,W,Battle,"Nov 8, 2025",7
9,8,43,L,W,Battle,"Dec 6, 2025",8
9,9,10,W,W,Win,"Jan 3, 2026",9
10,1,13,L,W,Battle,"May 24, 2025",1
10,2,45,L,L,Loss,"Jun 21, 2025",2
10,3,46,W,W,Win,"Jul 19, 2025",3
10,4,7,L,W,Battle,"Aug 16, 2025",4
10,5,33,L,W,Battle,"Sep 13, 2025",5
10,6,8,L,L,Loss,"Oct 11, 2025",6
10,7,1,L,W,Battle,"Nov 8, 2025",7
10,8,30,L,L,Loss,"Dec 6, 2025",8
10,9,9,L,L,Loss,"Jan 3, 2026",9
11,1,6,L,W,Battle,"May 24, 2025",1
11,2,18,W,L,Preparation,"Jun 21, 2025",2
11,3,14,W,W,Win,"Jul 19, 2025",3
11,4,13,L,L,Loss,"Aug 16, 2025",4
11,5,44,L,L,Loss,"Sep 13, 2025",5
11,6,24,L,L,Loss,"Oct 11, 2025",6
11,7,13,W,W,Win,"Nov 8, 2025",7
11,8,62,L,L,Loss,"Dec 6, 2025",8
11,9,20,W,W,Win,"Jan 3, 2026",9
12,1,8,W,W,Win,"May 24, 2025",1
12,2,13,W,L,Preparation,"Jun 21, 2025",2
12,3,1,W,W,Win,"Jul 19, 2025",3
12,4,24,W,L,Preparation,"Aug 16, 2025",4
12,5,8,W,W,Win,"Sep 13, 2025",5
12,6,36,W,W,Win,"Oct 11, 2025",6
12,7,6,W,W,Win,"Nov 8, 2025",7
12,8,14,W,W,Win,"Dec 6, 2025",8
12,9,3,W,L,Preparation,"Jan 3, 2026",9
13,1,10,W,L,Preparation,"May 24, 2025",1
13,2,12,L,W,Battle,"Jun 21, 2025",2
13,3,6,L,L,Loss,"Jul 19, 2025",3
13,4,11,W,W,Win,"Aug 16, 2025",4
13,5,14,W,W,Win,"Sep 13, 2025",5
13,6,42,L,L,Loss,"Oct 11, 2025",6
13,7,11,L,L,Loss,"Nov 8, 2025",7
13,8,19,L,W,Battle,"Dec 6, 2025",8
13,9,8,W,W,Win,"Jan 3, 2026",9
14,2,26,W,W,Win,"Jun 21, 2025",2
14,3,11,L,L,Loss,"Jul 19, 2025",3
14,4,20,L,W,Battle,"Aug 16, 2025",4
14,5,13,L,L,Loss,"Sep 13, 2025",5
14,6,7,W,W,Win,"Oct 11, 2025",6
14,7,8,W,W,Win,"Nov 8, 2025",7
14,8,12,L,L,Loss,"Dec 6, 2025",8
14,9,6,L,W,Battle,"Jan 3, 2026",9
15,2,33,W,W,Win,"Jun 21, 2025",2
15,3,44,L,L,Loss,"Jul 19, 2025",3
15,4,19,L,L,Loss,"Aug 16, 2025",4
15,5,38,L,W,Battle,"Sep 13, 2025",5
15,6,33,L,L,Loss,"Oct 11, 2025",6
15,7,21,W,L,Preparation,"Nov 8, 2025",7
15,8,32,L,W,Battle,"Dec 6, 2025",8
15,9,1,L,W,Battle,"Jan 3, 2026",9
16,2,7,W,W,Win,"Jun 21, 2025",2
16,3,2,L,L,Loss,"Jul 19, 2025",3
16,4,25,W,L,Preparation,"Aug 16, 2025",4
16,5,49,L,L,Loss,"Sep 13, 2025",5
16,6,9,W,W,Win,"Oct 11, 2025",6
16,7,47,L,L,Loss,"Nov 8, 2025",7
16,8,65,L,L,Loss,"Dec 6, 2025",8
16,9,5,L,W,Battle,"Jan 3, 2026",9
17,2,30,W,W,Win,"Jun 21, 2025",2
17,3,42,L,W,Battle,"Jul 19, 2025",3
17,4,18,W,L,Preparation,"Aug 16, 2025",4
17,5,58,L,W,Battle,"Sep 13, 2025",5
17,6,66,L,L,Loss,"Oct 11, 2025",6
17,7,30,L,W,Battle,"Nov 8, 2025",7
17,8,69,L,L,Loss,"Dec 6, 2025",8
17,9,31,W,W,Win,"Jan 3, 2026",9
18,2,11,L,W,Battle,"Jun 21, 2025",2
18,3,3,L,L,Loss,"Jul 19, 2025",3
18,4,17,L,W,Battle,"Aug 16, 2025",4
18,5,45,L,L,Loss,"Sep 13, 2025",5
18,6,58,L,W,Battle,"Oct 11, 2025",6
18,7,61,L,L,Loss,"Nov 8, 2025",7
18,8,33,L,W,Battle,"Dec 6, 2025",8
18,9,24,L,W,Battle,"Jan 3, 2026",9
19,2,42,L,L,Loss,"Jun 21, 2025",2
19,3,26,L,L,Loss,"Jul 19, 2025",3
19,4,15,W,W,Win,"Aug 16, 2025",4
19,5,9,W,W,Win,"Sep 13, 2025",5
19,6,49,W,W,Win,"Oct 11, 2025",6
19,7,27,L,W,Battle,"Nov 8, 2025",7
19,8,13,W,L,Preparation,"Dec 6, 2025",8
19,9,37,W,L,Preparation,"Jan 3, 2026",9
20,2,8,W,W,Win,"Jun 21, 2025",2
20,3,59,L,L,Loss,"Jul 19, 2025",3
20,4,14,W,L,Preparation,"Aug 16, 2025",4
20,5,60,L,W,Battle,"Sep 13, 2025",5
20,6,22,W,L,Preparation,"Oct 11, 2025",6
20,7,5,W,L,Preparation,"Nov 8, 2025",7
20,8,21,W,W,Win,"Dec 6, 2025",8
20,9,11,L,L,Loss,"Jan 3, 2026",9
21,2,29,W,L,Preparation,"Jun 21, 2025",2
21,3,41,W,L,Preparation,"Jul 19, 2025",3
21,5,31,L,L,Loss,"Sep 13, 2025",5
21,6,65,W,W,Win,"Oct 11, 2025",6
21,7,15,L,W,Battle,"Nov 8, 2025",7
21,8,20,L,L,Loss,"Dec 6, 2025",8
21,9,27,W,W,Win,"Jan 3, 2026",9
22,2,37,L,W,Battle,"Jun 21, 2025",2
22,3,43,L,L,Loss,"Jul 19, 2025",3
22,4,23,W,W,Win,"Aug 16, 2025",4
22,5,56,W,L,Preparation,"Sep 13, 2025",5
22,6,20,L,W,Battle,"Oct 11, 2025",6
22,7,33,L,L,Loss,"Nov 8, 2025",7
22,8,67,W,W,Win,"Dec 6, 2025",8
22,9,4,W,W,Win,"Jan 3, 2026",9
23,2,28,W,L,Preparation,"Jun 21, 2025",2
23,3,56,W,L,Preparation,"Jul 19, 2025",3
