kingdom_number,total_kvks,prep_wins,prep_losses,prep_win_rate,prep_win_streak,battle_wins,battle_losses,battle_win_rate,battle_win_streak,dominations,defeats,most_recent_status,overall_score
1,9,7,2,0.7777777777777778,6,3,6,0.3333333333333333,0,3,2,Unannounced,8.87
2,9,2,7,0.2222222222222222,1,4,5,0.4444444444444444,0,1,4,Unannounced,6.23
3,9,7,2,0.7777777777777778,0,9,0,1.0,9,7,0,Unannounced,10.63
4,9,6,3,0.6666666666666666,0,3,6,0.3333333333333333,0,3,3,Unannounced,7.35
5,9,3,6,0.3333333333333333,1,3,6,0.3333333333333333,0,2,5,Unannounced,6.13
6,9,4,5,0.4444444444444444,1,4,5,0.4444444444444444,0,2,3,Unannounced,5.61
7,9,3,6,0.3333333333333333,0,4,5,0.4444444444444444,0,2,4,Unannounced,6.91
8,9,2,7,0.2222222222222222,0,4,5,0.4444444444444444,0,2,5,Unannounced,5.07
9,8,2,6,0.25,1,4,4,0.5,3,1,3,Unannounced,7.88
10,9,1,8,0.1111111111111111,0,5,4,0.5555555555555556,0,1,4,Unannounced,4.92
11,9,4,5,0.4444444444444444,1,4,5,0.4444444444444444,1,3,4,Unannounced,8.12
12,9,9,0,1.0,9,6,3,0.6666666666666666,0,6,0,Unannounced,10.89
13,9,4,5,0.4444444444444444,1,5,4,0.5555555555555556,2,3,3,Unannounced,7.84
14,8,3,5,0.375,0,5,3,0.625,1,3,3,Unannounced,7.25
15,8,2,6,0.25,0,4,4,0.5,2,1,3,Unannounced,7.11
16,8,3,5,0.375,0,3,5,0.375,1,2,4,Unannounced,5.14
17,8,3,5,0.375,1,5,3,0.625,1,2,2,Unannounced,7.35
18,8,0,8,0.0,0,5,3,0.625,2,0,3,Unannounced,5.94
19,8,5,3,0.625,2,4,4,0.5,0,3,2,Unannounced,7.85
20,8,5,3,0.625,0,3,5,0.375,0,2,2,Unannounced,7.08
21,7,4,3,0.5714285714285714,1,3,4,0.42857142857142855,1,2,2,Unannounced,6.97
22,8,4,4,0.5,2,5,3,0.625,2,3,2,Unannounced,8.44
23,8,4,4,0.5,0,3,5,0.375,1,1,2,Unannounced,6.23
24,8,5,3,0.625,1,5,3,0.625,0,3,1,Unannounced,7.67
25,8,2,6,0.25,0,3,5,0.375,1,0,3,Unannounced,4.81
26,4,1,3,0.25,0,1,3,0.25,0,1,3,Unannounced,3.67
27,8,3,5,0.375,0,2,6,0.25,0,1,4,Unannounced,5.65
28,8,2,6,0.25,0,4,4,0.5,0,1,3,Unannounced,6.56
29,8,5,3,0.625,5,2,6,0.25,0,1,2,Unannounced,7.24
30,8,5,3,0.625,3,5,3,0.625,0,3,1,Unannounced,8.8
31,7,2,5,0.2857142857142857,0,2,5,0.2857142857142857,0,2,5,Unannounced,5.24
32,8,5,3,0.625,0,4,4,0.5,1,3,2,Unannounced,6.92
33,8,6,2,0.75,6,4,4,0.5,1,4,2,Unannounced,9.52
34,8,4,4,0.5,1,4,4,0.5,1,3,3,Unannounced,7.99
35,8,1,7,0.125,0,3,5,0.375,0,1,5,Unannounced,3.5
36,8,4,4,0.5,0,6,2,0.75,3,4,2,Unannounced,9.52
37,8,4,4,0.5,0,4,4,0.5,2,1,1,Unannounced,7.52
38,8,1,7,0.125,0,4,4,0.5,1,0,3,Unannounced,5.79
39,8,8,0,1.0,8,4,4,0.5,0,4,0,Unannounced,9.24
