,Transfer #1,"Sep 15, 2025",Transfer #2,"Nov 10, 2025",Transfer #3,"Jan 5, 2026",Transfer #4,"Jan 5, 2026"
Kingdom,Group,Status,Group,Status,Group,Status,Group,Leading
1,1,Ordinary,1,Ordinary,1,Ordinary,1,Ordinary
2,1,Ordinary,1,Ordinary,1,Ordinary,1,Ordinary
3,1,Leading,1,Leading,1,Leading,1,Leading
4,1,Leading,1,Ordinary,1,Ordinary,1,Ordinary
5,1,Ordinary,1,Ordinary,1,Ordinary,1,Ordinary
6,1,Ordinary,1,Leading,1,Ordinary,1,Ordinary
7,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
8,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
9,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
10,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
11,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
12,1,Ordinary,1,Leading,2,Leading,1,Leading
13,1,Leading,1,Ordinary,2,Ordinary,1,Ordinary
14,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
15,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
16,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
17,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
18,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
19,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
20,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
21,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
22,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
23,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
24,1,Ordinary,1,Leading,2,Ordinary,1,Ordinary
25,1,Ordinary,1,Ordinary,2,Ordinary,1,Ordinary
26,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
27,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
28,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
29,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
30,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
31,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
32,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
33,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
34,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
35,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
36,2,Ordinary,1,Leading,2,Ordinary,2,Ordinary
37,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
38,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
39,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
40,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
41,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
42,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
43,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
44,2,Leading,1,Ordinary,2,Ordinary,2,Ordinary
45,2,Leading,1,Leading,2,Leading,2,Leading
46,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
47,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
48,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
49,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
50,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
51,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
52,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
53,2,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
