,Column Status,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,KvK 1,"May 24, 2025",KvK 2,"Jun 21, 2025",KvK 3,"Jul 19, 2025",KvK 4,"Aug 16, 2025",KvK 5,"Sep 13, 2025",KvK 6,"Oct 11, 2025",KvK 7,"Nov 8, 2025",KvK 8,"Dec 6, 2025",KvK 9,"Jan 3, 2026"
Row Status,Kingdom,KvKs,Wins,Preparations,Battles,Losses,Byes,Draws,Unknowns,Total Preps,Total Battles,Total Opp Other Preps,Opp Prep KvKs,Total Opp Other Battles,Opp Battle KvKs,Opponent,Result,Opponent,Result,Opponent,Result,Opponent,Result,Opponent,Result,Opponent,Result,Opponent,Result,Opponent,Result,Opponent,Result
Complete,1,9,3,4,0,2,0,0,0,7,3,17,51,10,21,2,Win,3,Loss,12,Loss,5,Win,6,Preparation,2,Preparation,10,Preparation,5,Win,15,Preparation
Complete,2,9,1,1,3,4,0,0,0,2,4,5,14,12,29,1,Loss,5,Loss,16,Win,4,Battle,3,Loss,1,Battle,7,Loss,4,Battle,25,Preparation
Complete,3,9,7,0,2,0,0,0,0,7,9,29,51,39,66,4,Win,1,Win,18,Win,6,Win,2,Win,4,Win,45,Battle,6,Win,12,Battle
Complete,4,9,3,3,0,3,0,0,0,6,3,16,45,10,23,3,Loss,6,Preparation,7,Win,2,Preparation,5,Win,3,Loss,25,Win,2,Preparation,22,Loss
Complete,5,9,2,1,1,5,0,0,0,3,3,7,22,10,22,7,Loss,2,Win,25,Win,1,Loss,4,Loss,6,Loss,20,Battle,1,Loss,16,Preparation
Complete,6,9,2,2,2,3,0,0,0,4,4,14,31,14,32,11,Preparation,4,Battle,13,Win,3,Loss,1,Battle,5,Win,12,Loss,3,Loss,14,Preparation
Complete,7,9,2,1,2,4,0,0,0,3,4,6,24,12,30,5,Win,16,Loss,4,Loss,10,Preparation,25,Battle,14,Loss,2,Win,27,Battle,33,Loss
Complete,8,9,2,0,2,5,0,0,0,2,4,4,15,14,29,12,Loss,20,Loss,27,Win,9,Battle,12,Loss,10,Win,14,Loss,48,Battle,13,Loss
Complete,9,8,1,1,3,3,1,0,0,2,4,3,16,16,29,N/A,Bye,43,Loss,28,Battle,8,Preparation,19,Loss,16,Loss,29,Battle,43,Battle,10,Win
Complete,10,9,1,0,4,4,0,0,0,1,5,3,7,22,38,13,Battle,45,Loss,46,Win,7,Battle,33,Battle,8,Loss,1,Battle,30,Loss,9,Loss
Complete,11,9,3,1,1,4,0,0,0,4,4,12,29,17,30,6,Battle,18,Preparation,14,Win,13,Loss,44,Loss,24,Loss,13,Win,62,Loss,20,Win
Complete,12,9,6,3,0,0,0,0,0,9,6,38,67,26,44,8,Win,13,Preparation,1,Win,24,Preparation,8,Win,36,Win,6,Win,14,Win,3,Preparation
Complete,13,9,3,1,2,3,0,0,0,4,5,10,31,23,38,10,Preparation,12,Battle,6,Loss,11,Win,14,Win,42,Loss,11,Loss,19,Battle,8,Win
Complete,14,8,3,0,2,3,0,0,0,3,5,6,19,16,34,N/A,N/A,26,Win,11,Loss,20,Battle,13,Loss,7,Win,8,Win,12,Loss,6,Battle
Complete,15,8,1,1,3,3,0,0,0,2,4,10,13,15,29,N/A,N/A,33,Win,44,Loss,19,Loss,38,Battle,33,Loss,21,Preparation,32,Battle,1,Battle
Complete,16,8,2,1,1,4,0,0,0,3,3,7,22,11,23,N/A,N/A,7,Win,2,Loss,25,Preparation,49,Loss,9,Win,47,Loss,65,Loss,5,Battle
Complete,17,8,2,1,3,2,0,0,0,3,5,7,19,20,32,N/A,N/A,30,Win,42,Battle,18,Preparation,58,Battle,66,Loss,30,Battle,69,Loss,31,Win
Complete,18,8,0,0,5,3,0,0,0,0,5,0,0,22,36,N/A,N/A,11,Battle,3,Loss,17,Battle,45,Loss,58,Battle,61,Loss,33,Battle,24,Battle
Complete,19,8,3,2,1,2,0,0,0,5,4,15,36,14,28,N/A,N/A,42,Loss,26,Loss,15,Win,9,Win,49,Win,27,Battle,13,Preparation,37,Preparation
Complete,20,8,2,3,1,2,0,0,0,5,3,16,36,11,21,N/A,N/A,8,Win,59,Loss,14,Preparation,60,Battle,22,Preparation,5,Preparation,21,Win,11,Loss
Complete,21,7,2,2,1,2,1,0,0,4,3,11,28,9,21,N/A,N/A,29,Preparation,41,Preparation,N/A,Bye,31,Loss,65,Win,15,Battle,20,Loss,27,Win
Complete,22,8,3,1,2,2,0,0,0,4,5,18,29,18,36,N/A,N/A,37,Battle,43,Loss,23,Win,56,Preparation,20,Battle,33,Loss,67,Win,4,Win
Complete,23,8,1,3,2,2,0,0,0,4,3,10,28,12,21,N/A,N/A,28,Preparation,56,Preparation,22,Loss,52,Win,25,Preparation,39,Battle,93,Loss,30,Battle
Complete,24,8,3,2,2,1,0,0,0,5,5,20,36,22,37,N/A,N/A,32,Battle,33,Win,12,Battle,57,Preparation,11,Win,42,Win,92,Loss,18,Preparation
Complete,25,8,0,2,3,3,0,0,0,2,3,6,15,10,22,N/A,N/A,44,Preparation,5,Loss,16,Battle,7,Preparation,23,Battle,4,Loss,36,Loss,2,Battle
Complete,26,4,1,0,0,3,4,0,0,1,1,5,7,4,7,N/A,N/A,14,Loss,19,Win,57,Loss,36,Loss,N/A,Bye,N/A,Bye,N/A,Bye,N/A,Bye
Complete,27,8,1,2,1,4,0,0,0,3,2,12,22,8,14,N/A,N/A,47,Loss,8,Loss,34,Battle,61,Loss,37,Win,19,Preparation,7,Preparation,21,Loss
Complete,28,8,1,1,3,3,0,0,0,2,4,7,14,13,27,N/A,N/A,23,Battle,9,Preparation,96,Battle,40,Loss,46,Loss,32,Win,42,Battle,34,Loss
Complete,29,8,1,4,1,2,0,0,0,5,2,10,35,6,13,N/A,N/A,21,Battle,40,Loss,32,Loss,51,Win,35,Preparation,9,Preparation,70,Preparation,32,Preparation
Complete,30,8,3,2,2,1,0,0,0,5,5,12,36,18,35,N/A,N/A,17,Loss,50,Win,93,Battle,48,Win,39,Battle,17,Preparation,10,Win,23,Preparation
Complete,31,7,2,0,0,5,1,0,0,2,2,5,13,6,13,N/A,N/A,52,Loss,N/A,Bye,73,Loss,21,Win,55,Loss,63,Loss,35,Win,17,Loss
Complete,32,8,3,2,1,2,0,0,0,5,4,19,34,11,26,N/A,N/A,24,Preparation,54,Win,29,Win,37,Loss,51,Win,28,Loss,15,Preparation,29,Battle
Complete,33,8,4,2,0,2,0,0,0,6,4,11,44,16,29,N/A,N/A,15,Loss,24,Loss,71,Win,10,Preparation,15,Win,22,Win,18,Preparation,7,Win
Complete,34,8,3,1,1,3,0,0,0,4,4,10,28,14,28,N/A,N/A,41,Battle,55,Loss,27,Preparation,53,Win,41,Loss,35,Win,60,Loss,28,Win
Complete,35,8,1,0,2,5,0,0,0,1,3,4,7,11,20,N/A,N/A,36,Win,66,Loss,124,Battle,62,Loss,29,Battle,34,Loss,31,Loss,47,Loss
Complete,36,8,4,0,2,2,0,0,0,4,6,11,24,25,37,N/A,N/A,35,Loss,67,Win,116,Battle,26,Win,12,Loss,58,Win,25,Win,61,Battle
Complete,37,8,1,3,3,1,0,0,0,4,4,17,28,17,27,N/A,N/A,22,Preparation,53,Preparation,140,Battle,32,Win,27,Loss,40,Preparation,68,Battle,19,Battle
Complete,38,8,0,1,4,3,0,0,0,1,4,2,7,18,27,N/A,N/A,62,Battle,39,Loss,152,Battle,15,Preparation,54,Loss,43,Battle,39,Loss,42,Battle
Complete,39,8,4,4,0,0,0,0,0,8,4,22,53,13,25,N/A,N/A,59,Preparation,38,Win,110,Win,50,Win,30,Preparation,23,Preparation,38,Win,60,Preparation
Complete,40,8,2,2,2,2,0,0,0,4,4,12,28,15,28,N/A,N/A,51,Loss,29,Win,172,Loss,28,Win,50,Preparation,37,Battle,77,Battle,59,Preparation
Complete,41,8,1,1,2,4,0,0,0,2,3,8,12,11,19,N/A,N/A,34,Preparation,21,Battle,105,Loss,54,Loss,34,Win,48,Loss,59,Loss,53,Battle
Complete,42,8,3,3,1,1,0,0,0,6,4,19,43,18,28,N/A,N/A,19,Win,17,Preparation,166,Battle,67,Win,13,Win,24,Loss,28,Preparation,38,Preparation
Complete,43,8,3,2,2,1,0,0,0,5,5,10,33,19,33,N/A,N/A,9,Win,22,Win,113,Battle,59,Battle,67,Loss,38,Preparation,9,Preparation,65,Win
Complete,44,8,3,0,2,3,0,0,0,3,5,10,22,19,36,N/A,N/A,25,Battle,15,Win,163,Loss,11,Win,59,Win,62,Battle,45,Loss,57,Loss
Complete,45,8,4,1,3,0,0,0,0,5,7,15,36,33,48,N/A,N/A,10,Win,57,Battle,59,Battle,18,Win,57,Win,3,Preparation,44,Win,62,Battle
Complete,46,8,3,0,3,2,0,0,0,3,6,8,21,20,42,N/A,N/A,60,Battle,10,Loss,129,Loss,55,Win,28,Win,54,Battle,78,Battle,50,Win
Complete,47,8,3,1,1,3,0,0,0,4,4,7,27,10,27,N/A,N/A,27,Win,58,Loss,94,Battle,66,Loss,64,Loss,16,Win,104,Preparation,35,Win
Complete,48,8,1,2,2,3,0,0,0,3,3,8,22,11,21,N/A,N/A,54,Battle,62,Loss,84,Battle,30,Loss,56,Loss,41,Win,8,Preparation,67,Preparation
Complete,49,8,3,0,1,4,0,0,0,3,4,12,21,18,28,N/A,N/A,68,Loss,64,Win,85,Win,16,Win,19,Loss,53,Loss,87,Loss,56,Battle
Complete,50,8,1,0,2,5,0,0,0,1,3,4,6,12,19,N/A,N/A,67,Loss,30,Loss,56,Win,39,Loss,40,Battle,56,Battle,61,Loss,46,Loss
Complete,51,8,1,0,2,5,0,0,0,1,3,4,7,11,20,N/A,N/A,40,Win,61,Loss,145,Battle,29,Loss,32,Loss,55,Loss,89,Battle,63,Loss
Complete,52,8,2,0,1,5,0,0,0,2,3,3,13,8,19,N/A,N/A,31,Win,63,Loss,112,Loss,23,Loss,63,Battle,65,Win,79,Loss,64,Loss
Complete,53,8,2,2,2,2,0,0,0,4,4,12,28,15,28,N/A,N/A,75,Preparation,37,Battle,101,Loss,34,Loss,60,Battle,49,Win,74,Win,41,Preparation
Complete,54,8,3,3,1,1,0,0,0,6,4,18,41,12,26,N/A,N/A,48,Preparation,32,Loss,103,Battle,41,Win,38,Win,46,Preparation,94,Win,66,Preparation
Complete,55,8,3,2,0,3,0,0,0,5,3,12,33,9,20,N/A,N/A,84,Loss,34,Win,100,Preparation,46,Loss,31,Win,51,Win,97,Loss,58,Preparation
Complete,56,8,2,2,2,2,0,0,0,4,4,7,27,14,27,N/A,N/A,72,Loss,23,Battle,50,Loss,22,Battle,48,Win,50,Preparation,91,Win,49,Preparation
Complete,57,8,3,1,2,2,0,0,0,4,5,13,24,20,31,N/A,N/A,76,Win,45,Preparation,26,Win,24,Battle,45,Loss,66,Battle,90,Loss,44,Win
